"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",8.02153082323106,10.049913821101,16.6565592039899,22.6689528573699,31.2836603425117,41.9614944027816,46.3512171438687,67.7160714262602,77.5354798150905,87.0039976560041,99.1178885856001,115.205942383386,112.806271443719,135.158363021465,149.344982156973,172.674429999652,180.926981626181,181.796608911577,224.423023078814,238.318056393013,234.177330157317,259.54563409554,259.867230771296,290.552673887666,280.995349691768,296.58242576661,342.501683289707,339.721120147196,347.228001179023,360.678555705057,392.632978857236,392.69398683527,367.331840724348,394.563021081355,376.275563232315,373.299060249063,397.97220312331,415.866358704966,425.060878240773,420.691698983762
"2",13.6977700580103,28.8395383883471,45.7806676427524,62.2520379647692,88.2624045917205,118.779694654185,144.479373689597,185.277207035854,200.564494083125,224.512794801983,254.791967956351,276.112850841051,322.345928470662,333.669731043893,346.726046147482,367.541623656883,418.318777715682,409.120864549896,387.630898917206,465.19930957058,410.358475819178,438.823096385659,444.729105590098,426.468751655129,457.369077023174,426.134054369576,429.908888917297,391.904739434874,404.496573049172,414.461357907402,376.363852210684,279.916415178603,365.51177266592,270.705659023776,332.429464712704,332.105403688385,355.121287131767,319.125012796347,227.883862226972,253.811739888131
"3",23.2770708370037,50.3562832813421,81.7303676456423,125.035160384536,166.74556737807,216.039113717326,248.457206422649,300.260447013448,350.714979930356,361.062607422997,395.996447444051,378.233216681728,437.232993792395,447.829719539192,328.880768080678,448.067581937487,392.435368169768,377.278139385942,427.077211859488,354.763195356081,382.778855347388,206.045339213248,327.346294269592,315.664270794993,285.412986045158,297.193234709862,180.873300931394,212.467631642316,188.849113471556,258.093905148616,175.661116421146,146.554448537123,163.958813675595,142.045776367306,113.263582257533,119.62448189545,125.59328418583,105.174965929932,107.198609555416,99.6932102469057
"4",36.7433442508013,83.7886066946322,137.911168327646,194.690254290765,259.591083733238,307.089018314928,361.042684929623,402.151820183343,381.122450779236,425.651287993515,418.20437541393,424.591291830336,472.270825575772,380.64476324451,400.228847576096,298.551029729154,376.740007469543,245.178163471799,277.148494708077,250.722285718395,249.648594618653,259.759374631032,164.684752180351,103.363610894247,140.83729595453,112.924413960581,128.825219224707,113.478699537324,122.415295294532,108.316534312654,63.1582708821925,96.7730611775858,67.3699450984135,47.0219010178676,125.030948256343,0,0,0,0,0
"5",56.2464975815381,110.325234360845,184.579947803555,254.290663624634,317.117408796436,370.972260173416,414.191987919565,413.28038118573,439.271521308181,397.839849556211,459.731605255353,270.892695423373,360.245149675302,356.299782711474,275.682218920511,261.958002221796,210.297565690867,248.21061462784,178.912090496043,161.383549058723,161.184766998312,122.550765988613,77.0211114762527,50.4319658154449,85.7602092422335,0,124.414157956395,34.5617780933965,98.7467543737531,0,30.7850876394754,0,0,0,0,0,0,0,0,0
"6",68.6837001411292,146.266335471317,232.703868716834,315.136525718389,371.745319329074,421.478479117837,388.227060046737,358.889324720451,315.746612516842,383.102007199683,354.730985646091,308.392376488168,228.853558751424,209.16839165952,184.048262585354,185.635192068218,172.636167858974,114.556874908526,123.148928388001,75.7713399149306,66.3638992017096,66.5198284064661,64.408650024443,42.071313551517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",96.7830110029437,188.730802231918,308.815292408913,338.252042729217,434.287671074097,460.153371364708,444.465047621568,386.360499404346,396.804511076464,352.975364070483,137.774214745869,262.753996552832,180.926472243604,139.902363121343,109.985702607789,104.463668592738,89.0118315899795,64.1371677348332,34.0308919751562,52.0882667862708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",117.146845170287,233.299378040324,336.575566856535,404.130307636038,414.513676179061,414.642307917707,417.37149116375,357.043956898877,308.321064028431,198.76210191082,202.931321858496,187.618817102676,128.233349352462,111.960302128998,80.2840781098796,63.4576866185099,52.9679087459663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",126.847729691432,268.699684839227,385.527628257356,414.788428016368,421.530144286376,364.40943653625,432.143226575937,332.721447416978,262.863988703394,191.842968211541,143.239112871093,96.700914442699,84.1764028491554,51.8261754395657,100.971294336157,0,18.5447345864682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",158.087116806052,277.478299882337,406.216689702527,355.913865589034,447.897469007799,329.034490776642,288.479012505959,257.243841341747,195.658519587111,138.821989806751,110.819396491518,84.163192160926,0,42.4557421598642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
